id,title,main_story,main_plus_extras,completionist,all_styles,coop,versus,type,developers,publishers,platforms,genres,release_na,release_eu,release_jp
2974,Dungeons of Dredmor,17.0,31.5,66.5,27.5,,,,Gaslamp Games,Gaslamp Games,"Linux, PC",Roguelike,2011-07-13,2011-07-13,
2975,Dungeons of Dredmor: Realm of the Diggle Gods,8.5,11.0,,10.0,,,DLC/Expansion,Gaslamp Games,,PC,Roguelike,2011-07-13,2011-07-13,
2977,Dungeons: The Dark Lord,,,,,,,,Realmforge Studios,Kalypso Media,PC,Strategy,2011-09-27,,
2980,Dust: A Tale of the Wired West,10.0,,,10.0,,,,Cyberflix,GTE Entertainment,PC,Adventure,1995-01-01,,
2981,Dust: An Elysian Tail,10.0,13.0,18.0,13.5,,,,Humble Hearts,Microsoft Studios,"Mobile, PC, Nintendo Switch, PlayStation 3, PlayStation 4, Xbox 360","Side, Scrolling, Action, Adventure, Hack and Slash, Platform, Role-Playing",2012-08-15,2013-05-24,
2982,Dustforce,,,,,,,,Hitbox Team,,PC,"Action, Platform",2012-01-17,2012-01-17,
2983,Dusty Diamond's All-Star Softball,1.5,,,1.5,,,,Tose,"Tonkin House, Br�derbund",NES,Sports,,,
2984,Dwarfs!?,4.5,8.0,18.0,8.5,,,,Power of 2,Tripwire Interactive,PC,"Family, Strategy, Casual, Indie",2011-05-04,2011-05-04,
2985,DX-Ball 2,,,30.5,30.5,,,,Longbow Digital Arts,Longbow Digital Arts,PC,,1998-12-16,,
2986,Dyad,2.5,3.0,,2.5,,,,RSBLSB Games,RSBLSB Games,"PC, PlayStation 3","Music/Rhythm, Puzzle, Racing, Shooter",2012-07-17,,
2987,Dyna Blaster,20.0,34.0,,27.5,,,,Hudson Soft,Hudson Soft,PC,Action,1991-01-01,,1990-12-07
2988,Dynamite Cop,2.0,2.0,3.0,2.0,,,,AM1,Sega,Dreamcast,Beat 'em Up,1999-11-03,1999-10-14,1998-06-01
2989,Dynamite Dux,0.5,,0.5333333333333333,0.5333333333333333,,,,Sega,Sega,"Amiga, Sega Master System",Beat 'em Up,1988-01-01,,
2990,Dynamite Headdy,3.0,5.0,7.5,3.5,,,,Treasure,Sega,"PC, Sega Game Gear, Sega Mega Drive/Genesis",Platformer,1994-08-04,,1994-08-05
2991,Dynamite Jack,3.0,3.0,6.5,4.5,,,,Hassey Enterprises,Hassey Enterprises,"Linux, PC","Puzzle, Action",2012-05-10,2012-05-10,
2992,Dynasty Tactics,13.5,,,13.5,,,,Koei,Koei,PlayStation 2,"Role-Playing, Strategy",2002-09-17,,
2993,Dynasty Tactics 2,10.0,25.0,50.0,26.5,,,,Koei,Koei,PlayStation 2,"Role-Playing, Strategy",2003-09-24,2003-11-28,
2994,Dynasty Warriors (1997),4.0,,,4.0,,,,Omega Force,Koei,PlayStation,,1997-06-30,,1997-02-28
2995,Dynasty Warriors 2,7.5,17.5,19.5,15.0,,,,Omega Force,Koei,PlayStation 2,"Hack and slash, Tactical action",2000-10-26,2000-11-24,2000-08-03
2996,Dynasty Warriors 3,8.0,17.5,23.0,16.0,,,,Omega Force,Koei,PlayStation 2,"Hack and slash, Tactical action",2001-11-26,2002-03-22,2001-09-20
2997,Dynasty Warriors 3: Xtreme Legends,7.5,12.5,,8.5,,,,Koei,Koei,PlayStation 2,Action,2003-01-24,,
2998,Dynasty Warriors 4,13.0,32.0,180.0,43.0,,,,Omega Force,Koei,"PC, PlayStation 2, Xbox","Hack and Slash, Tactical",2003-03-25,,2002-12-27
2999,Dynasty Warriors 4: Empires,10.5,,,10.5,,,,Omega Force,Koei,PlayStation 2,"Action, Strategy, Role-Playing",2004-08-31,,
3000,Dynasty Warriors 5,25.0,46.5,70.0,41.5,,,,Omega Force,Koei,"PlayStation 2, Xbox",Hack and Slash,2005-03-29,2005-06-24,2005-02-24
3001,Dynasty Warriors 5: Empires,14.0,37.0,37.5,31.0,,,,Omega Force,Koei,"PlayStation 2, Xbox 360","Hack and slash, Tactical action",2006-03-28,,
3002,Dynasty Warriors 5: Xtreme Legends,8.5,,35.0,21.5,,,,Omega Force,KOEI,PlayStation 2,"Action, Hack and Slash",2005-11-16,,
3003,Dynasty Warriors 6,14.5,46.0,143.0,22.0,,,,Omega Force,Koei,"PC, PlayStation 2, PlayStation 3, Xbox 360","Hack and slash, Action",2008-02-19,2008-03-07,2007-11-11
3004,Dynasty Warriors 6: Empires,15.0,,28.0,20.0,,,,Omega Force,Koei,"PlayStation 3, Xbox 360","Hack and slash, Action",2009-06-23,2009-06-26,2009-05-28
3005,Dynasty Warriors 7,24.0,58.0,122.0,57.0,,,,Omega Force,Koei,"PC, PlayStation 3, Xbox 360","Hack and slash, Action",2011-03-29,2011-04-08,2011-03-10
3006,Dynasty Warriors 7: Empires,7.5,25.0,100.0,21.5,,,,Omega Force,Koei,PlayStation 3,"Action, Hack and Slash",2013-02-26,2013-02-22,
3007,Dynasty Warriors 7: Xtreme Legends,5.0,10.0,36.5,13.5,,,,Omega Force,Koei,PlayStation 3,Beat 'em Up,2011-11-15,2011-11-18,2011-09-29
3008,Dynasty Warriors Advance,,,,,,,,"Omega Force, Koei",Nintendo,Game Boy Advance,"Action, Hack and Slash, Tactical",2005-08-29,2005-12-02,2005-03-24
3009,Dynasty Warriors Next,20.0,32.5,52.0,25.0,,,,Omega Force,Koei,PlayStation Vita,"Action, Beat 'em Up",2012-02-22,2012-02-22,2011-12-17
3010,Dynasty Warriors: Gundam,8.0,31.0,53.0,28.0,,,,"Koei, Omega Force",Namco Bandai,"PlayStation 3, Xbox 360","Action, Role-Playing",2007-08-28,2007-11-09,2007-03-01
3011,Dynasty Warriors: Gundam 2,40.0,53.5,,51.5,,,,"Koei, Omega Force",Namco Bandai,"PlayStation 2, PlayStation 3, Xbox 360","Action, role-playing, Hack and slash",2009-04-22,2009-04-24,2008-12-18
3012,Dynasty Warriors: Gundam 3,34.5,58.0,101.0,56.5,,,,"Koei, Omega Force",Namco Bandai,"PlayStation 3, Xbox 360","Action, Role-Playing, Hack and Slash",2011-06-28,2011-07-01,2010-12-16
3013,Dynasty Warriors: Strikeforce,9.5,13.5,58.0,16.0,,,,Omega Force,Koei,"PSP, Xbox 360","Hack and Slash, Action",2009-04-28,2009-05-01,2009-02-26
3014,Dynomite!,,,,,,,,Raptisoft Games,PopCap Games,PC,Puzzle,2006-08-30,,
